,Class,Level,SpellCode,Spell
48,BOUNTYHUNTER,LEVEL_4,SPCL417,BOUNTYHUNTER_SET_TRAP_BONUS
49,BOUNTYHUNTER,LEVEL_8,SPCL801,BOUNTYHUNTER_SPELL_FAILURE_TARGET
50,SWASHBUCKLER,LEVEL_4,SPCL441,SWASHBUCKLER_AC_MINUS_1
51,SWASHBUCKLER,LEVEL_1,SPCL141,SWASHBUCKLER_HIT_DAMAGE_PLUS_1
52,PRIESTTALOS,LEVEL_7,SPCL721,PRIESTTALOS_STORM_SHIELD
53,PRIESTTALOS,LEVEL_7,SPCL722,PRIESTTALOS_LIGHTNING_BOLT
54,PRIESTHELM,LEVEL_7,SPCL731,PRIESTHELM_SEEKING_SWORD
55,PRIESTHELM,LEVEL_7,SPCL732,PRIESTHELM_TRUE_SIGHT
56,PRIESTLATHLANDER,LEVEL_7,SPCL741,PRIESTLATHLANDER_BOON_OF_LATHANDER
57,PRIESTLATHLANDER,LEVEL_7,SPCL742,PRIESTLATHLANDER_HOLD_UNDEAD
58,DRUID,LEVEL_6,SPCL611,DRUID_SHAPESHIFTS_BROWN_BEAR
59,DRUID,LEVEL_6,SPCL612,DRUID_SHAPESHIFTS_WOLF
60,DRUID,LEVEL_6,SPCL613,DRUID_SHAPESHIFTS_BLACK_BEAR
61,DRUID,LEVEL_L,SPLCL924,DRUID_POISON_IMMUNITY
62,DRUID,LEVEL_L,SPLCL925,DRUID_ELEMENTAL_RESISTANCE_10
63,DRUID,LEVEL_L,SPLCL926,DRUID_ELEMENTAL_RESISTANCE_20
64,DRUID,LEVEL_L,SPLCL927,DRUID_ELEMENTAL_RESISTANCE_30
65,TOTEMICDRUID,LEVEL_6,SPCL621,TOTEMICDRUID_SUMMON_SPIRIT_ANIMAL
66,SHAPESHIFTER,LEVEL_6,SPCL643,SHAPESHIFTER_SHAPESHIFTS_WEREWOLF
67,SHAPESHIFTER,LEVEL_6,SPCL644,SHAPESHIFTER_SHAPESHIFTS_GREATER_WEREWOLF
68,AVENGER,LEVEL_1,SPDR101,AVENGER_CHROMATIC_ORB
69,AVENGER,LEVEL_6,SPCL642,AVENGER_STRENGTH_CONSTITUTION_BONUS_UNKNOWN
70,AVENGER,LEVEL_2,SPDR201,AVENGER_WEB
71,AVENGER,LEVEL_3,SPDR301,AVENGER_LIGHTNING_BOLT
72,AVENGER,LEVEL_4,SPDR401,AVENGER_IMPROVED_INVISIBILITY
73,AVENGER,LEVEL_6,SPCL632,AVENGER_SHAPESHIFTS_SPIDER
74,AVENGER,LEVEL_6,SPCL633,AVENGER_SHAPESHIFTS_BABY_WYVERN
75,AVENGER,LEVEL_6,SPCL634,AVENGER_SHAPESHIFTS_FIRE_SALAMANDER
76,AVENGER,LEVEL_5,SPDR501,AVENGER_CHAOS
77,AVENGER,LEVEL_6,SPDR601,AVENGER_CHAIN_LIGHTNING
78,BLADE,LEVEL_5,SPCL521,BLADE_OFFENSIVE_SPIN
79,BLADE,LEVEL_5,SPCL522,BLADE_DEFENSIVE_SPIN
80,JESTER,LEVEL_7,SPCL751,JESTER_CHANGE_BARD_SONG_EFFECT_JESTER
81,SKALD,LEVEL_5,SPCL541,SKALD_BONUS_DAMAGE_PLUS_1
82,SKALD,LEVEL_5,SPCL542,SKALD_CHANGE_BARD_SONG_EFFECT_SKALD
83,MONK,LEVEL_8,SPCL811,MONK_STUNNING_BLOW
84,MONK,LEVEL_8,SPCL812,MONK_MOVEMENT_MODIFIER_2
85,MONK,LEVEL_8,SPCL813,MONK_MOVEMENT_MODIFIER_1
86,MONK,LEVEL_8,SPCL814,MONK_IMMUNITY_TO_DISEASE_HASTE_AMP_SLOW
87,MONK,LEVEL_8,SPCL815,MONK_LAY_ON_HANDS
88,MONK,LEVEL_8,SPCL816,MONK_ATTACK_SPEED_FACTOR
89,MONK,LEVEL_8,SPCL817,MONK_IMMUNITY_TO_CHARM
90,MONK,LEVEL_8,SPCL818,MONK_IMMUNITY_TO_POISON
91,MONK,LEVEL_8,SPCL820,MONK_QUIVERING_PALM
92,MONK,LEVEL_8,SPCL819,MONK_MAGIC_RESISTANCE_PLUS_3
93,MONK,LEVEL_8,SPCL821,MONK_IMMUNITY_TO_NONMAGICAL_WEAPONS
94,FIGHTER,LEVEL_9,SPCL900,FIGHTER_WHIRLWIND_ATTACK
95,FIGHTER,LEVEL_9,SPCL901,FIGHTER_GREATER_WHIRLWIND_ATTACK
96,FIGHTER,LEVEL_9,SPCL902,FIGHTER_DEATHBLOW
97,FIGHTER,LEVEL_9,SPCL903,FIGHTER_GREATER_DEATHBLOW
98,FIGHTER,LEVEL_9,SPCL904,FIGHTER_RESIST_MAGIC
99,FIGHTER,LEVEL_9,SPCL905,FIGHTER_CRITICAL_STRIKE
100,FIGHTER,LEVEL_9,SPCL906,FIGHTER_POWER_ATTACK
101,FIGHTER,LEVEL_9,SPCL907,FIGHTER_HARDINESS
102,FIGHTER,LEVEL_9,SPCL908,FIGHTER_WAR_CRY
103,FIGHTER,LEVEL_9,SPCL909,FIGHTER_SMITE
104,THIEF,LEVEL_9,SPCL910,THIEF_SET_SPIKE_TRAP
105,THIEF,LEVEL_9,SPCL911,THIEF_SET_EXPLODING_TRAP
106,THIEF,LEVEL_9,SPCL912,THIEF_SET_TIME_TRAP
107,THIEF,LEVEL_9,SPCL913,THIEF_EVASION
108,THIEF,LEVEL_9,SPCL914,THIEF_GREATER_EVASION
109,THIEF,LEVEL_9,SPCL915,THIEF_USE_ANY_ITEM
110,THIEF,LEVEL_9,SPCL916,THIEF_ASSASSINATION
111,THIEF,LEVEL_9,SPCL917,THIEF_AVOID_DEATH
112,THIEF,LEVEL_9,SPCL918,THIEF_ALCHEMY
113,THIEF,LEVEL_9,SPCL919,THIEF_SCRIBE_SCROLLS
114,BARD,LEVEL_9,SPCL920,BARD_ENHANCED_BARD_SONG
115,BARD,LEVEL_9,SPCL921,BARD_MAGIC_FLUTE
116,RANGER,LEVEL_9,SPCL922,RANGER_TRACKING
117,RANGER,LEVEL_9,SPCL923,RANGER_SUMMON_DEVA
118,MAGE,LEVEL_9,SPWI920,MAGE_ENERGY_BLADES
119,MAGE,LEVEL_9,SPWI921,MAGE_IMPROVED_ALACRITY
120,MAGE,LEVEL_9,SPWI922,MAGE_DRAGON_S_BREATH
121,MAGE,LEVEL_9,SPWI923,MAGE_SUMMON_PLANETAR
122,MAGE,LEVEL_9,SPCL928,MAGE_EXTRA_LEVEL_6_SPELL
123,MAGE,LEVEL_9,SPCL929,MAGE_EXTRA_LEVEL_7_SPELL
124,MAGE,LEVEL_9,SPCL930,MAGE_EXTRA_LEVEL_8_SPELL
125,CLERIC,LEVEL_7,SPPR721,CLERIC_ENERGY_BLADES
126,CLERIC,LEVEL_7,SPPR722,CLERIC_STORM_OF_VENGEANCE
127,CLERIC,LEVEL_7,SPPR723,CLERIC_ELEMENTAL_SUMMONING
128,CLERIC,LEVEL_7,SPPR724,CLERIC_GREATER_ELEMENTAL_SUMMONING
129,CLERIC,LEVEL_7,SPPR725,CLERIC_GLOBE_OF_BLADES
130,CLERIC,LEVEL_7,SPPR726,CLERIC_SUMMON_DEVA
131,CLERIC,LEVEL_7,SPPR727,CLERIC_SUMMON_FALLEN_DEVA
132,CLERIC,LEVEL_7,SPPR728,CLERIC_IMPLOSION
133,CLERIC,LEVEL_7,SPPR729,CLERIC_MASS_RAISE_DEAD
134,CLERIC,LEVEL_7,SPPR730,CLERIC_AURA_OF_FLAMING_DEATH
135,CLERIC,LEVEL_7,SPPR731,CLERIC_FIRE_ELEMENTAL_TRANSFORMATION
136,CLERIC,LEVEL_7,SPPR732,CLERIC_EARTH_ELEMENTAL_TRANSFORMATION
