,OPCode,Effects
268,0x10A,Spell_Remove_Protection_from_Spell
269,0x10B,Text_Protection_from_Display_Specific_String
270,0x10C,Spell_Effect_Clear_Fog_of_War_Wizard_Eye
271,0x10D,Spell_Effect_Shake_Window
272,0x10E,Cure_Unpause_Target
273,0x10F,Graphics_Avatar_Removal
274,0x110,Spell_Apply_Repeating_EFF
275,0x111,Remove_Specific_Area_Effect_Zone_of_Sweet_Air
276,0x112,Spell_Effect_Teleport_to_Target
277,0x113,Stat_Hide_in_Shadows_Modifier
278,0x114,Stat_Detect_Illusion_Modifier
279,0x115,Stat_Set_Traps_Modifier
280,0x116,Stat_To_Hit_Modifier
281,0x117,Button_Enable_Button
282,0x118,Spell_Effect_Wild_Magic
283,0x119,Stat_Wild_Magic
284,0x11A,Script_Scripting_State_Modifier
285,0x11B,Use_EFF_File_Cursed
286,0x11C,Stat_Melee_THAC0_Modifier
287,0x11D,Stat_Melee_Weapon_Damage_Modifier
288,0x11E,Stat_Missile_Weapon_Damage_Modifier
289,0x11F,Graphics_Selection_Circle_Removal
290,0x120,Stat_Fist_THAC0_Modifier
291,0x121,Stat_Fist_Damage_Modifier
292,0x122,Text_Change_Title
293,0x123,Graphics_Disable_Visual_Effect
294,0x124,Protection_Backstab
295,0x125,Script_Enable_Offscreen_AI
296,0x126,Spell_Effect_Existance_Delay_Override
297,0x127,Graphics_Disable_Permanent_Death
298,0x128,Graphics_Protection_from_Specific_Animation
299,0x129,Spell_Effect_Immunity_to_Turn_Undead
300,0x12A,Spell_Effect_Execute_Script_cut250a
301,0x12B,Spell_Effect_Chaos_Shield
302,0x12C,Spell_Effect_NPCBump
303,0x12D,Stat_Critical_Hit_Modifier
304,0x12E,Item_Can_Use_Any_Item
305,0x12F,Spell_Effect_Backstab_Every_Hit
306,0x130,Mass_Raise_Dead
307,0x131,Stat_THAC0_Modifier_Off_Hand
308,0x132,Stat_THAC0_Modifier_On_Hand
309,0x133,Ranger_Tracking_Ability
310,0x134,Protection_From_Tracking
311,0x135,Script_Modify_Local_Variable
312,0x136,Protection_from_Timestop
313,0x137,Spell_Random_Wish_Spell
314,0x138,Crash
315,0x139,High_Level_Ability_Denotation
316,0x13A,Spell_Golem_Stoneskin
317,0x13B,Graphics_Animation_Removal
318,0x13C,Spell_Magical_Rest
319,0x13D,State_Haste_2
320,0x13E,Protection_from_Resource
321,0x13F,Usability_Item_Usability
322,0x140,Change_Weather
323,0x141,Removal_Effects_specified_by_Resource
324,0x142,Empty
325,0x143,Stat_Turn_Undead_Level
326,0x144,Protection_Immunity_to_Resource_and_Message
327,0x145,Stat_Save_vs_all
328,0x146,Apply_Effects_List
329,0x147,Graphics_Icewind_Visual_Spell_Hit_plays_sound
330,0x148,State_Set_Extended_or_Spell_State
331,0x149,Spell_Effect_Slow_Poison
332,0x14A,Text_Float_Text
333,0x14B,Summon_Random_Monster_Summoning
334,0x14C,Stat_Specific_Damage_Modifier
335,0x14D,Spell_Effect_Static_Charge
336,0x14E,Spell_Effect_Turn_Undead
337,0x14F,Spell_Effect_Seven_Eyes
338,0x150,Graphics_Display_Eyes_Overlay
339,0x151,Remove_Opcode
340,0x152,Disable_Rest
341,0x153,Alter_Animation
342,0x154,Spell_Effect_Change_Backstab_Effect
343,0x155,Spell_Effect_Change_Critical_Hit_Effect
344,0x156,Animation_Override_Data
345,0x157,HP_Swap
346,0x158,Enchantment_vs_creature_type
347,0x159,Enchantment_bonus
348,0x15A,Save_vs_school_bonus
349,0x15B,Unused
350,0x15C,Unused
351,0x15D,Unused
352,0x15E,Unused
353,0x15F,Unused
354,0x160,Unused
355,0x161,Unused
356,0x162,Unused
357,0x163,Unused
358,0x164,Unused
359,0x165,Unused
360,0x166,Unused
361,0x167,Unused
362,0x168,Stat_Ignore_Reputation_Breaking_Point
363,0x169,Cast_spell_on_critical_miss
364,0x16A,Critical_miss_bonus
365,0x16B,Modal_state_check
366,0x16C,Empty
367,0x16D,Make_unselectable
368,0x16E,Spell_Apply_Spell_On_Move
369,0x16F,Minimum_base_stats
