,OPCode,Effects
218,218,Protection_Stoneskin
219,219,Stat_AC_vs_Creature_Type_Modifier
220,220,Removal_Remove_School
221,221,Removal_Remove_Secondary_Type
222,222,Spell_Effect_Teleport_Field
223,223,Spell_Immunity_by_School_decrementing
224,224,Cure_Level_Drain_Restoration
225,225,Spell_Reveal_Magic
226,226,Spell_Immunity_by_Secondary_Type_decrementing
227,227,Spell_Bounce_by_School_decrementing
228,228,Spell_Bounce_by_Secondary_Type_decrementing
229,229,Removal_Remove_One_School
230,230,Removal_Remove_One_Secondary_Type
231,231,Spell_Effect_Time_Stop
232,232,Spell_Effect_Cast_Spell_on_Condition
233,233,Stat_Proficiency_Modifier
234,234,Spell_Effect_Contingency_Creation
235,235,Spell_Effect_Wing_Buffet
236,236,Spell_Effect_Image_Projection
237,237,Spell_Effect_Puppet_ID
238,238,Death_Disintegrate
239,239,Spell_Effect_Farsight
240,240,Graphics_Remove_Special_Effect_Icon
241,241,Charm_Control_Creature
242,242,Cure_Confusion
243,243,Item_Drain_Item_Charges
244,244,Spell_Drain_Wizard_Spell
245,245,Check_For_Berserk
246,246,Spell_Effect_Berserking
247,247,Spell_Effect_Attack_Nearest_Creature
248,248,Item_Set_Melee_Effect
249,249,Item_Set_Ranged_Effect
250,250,Spell_Effect_Damage_Modifier
251,251,Spell_Effect_Change_Bard_Song_Effect
252,252,Spell_Effect_Set_Trap
253,253,Spell_Effect_Add_Map_Marker
254,254,Spell_Effect_Remove_Map_Marker
255,255,Item_Create_Inventory_Item_days
256,256,Spell_Spell_Sequencer_Active
257,257,Spell_Spell_Sequencer_Creation
258,258,Spell_Spell_Sequencer_Activation
259,259,Protection_Spell_Trap_by_Power_Level_decrementing
260,260,Spell_Spell_Sequencer_Activation_1
261,261,Spell_Restore_Lost_Spells
262,262,Stat_Visual_Range
263,263,Stat_Backstab
264,264,Spell_Effect_Drop_Weapons_in_Panic
265,265,Script_Modify_Global_Variable
266,266,Spell_Remove_Protection_from_Spell
267,267,Text_Protection_from_Display_Specific_String
268,268,Spell_Effect_Clear_Fog_of_War_Wizard_Eye
269,269,Spell_Effect_Shake_Window
270,270,Cure_Unpause_Target
271,271,Graphics_Avatar_Removal
272,272,Spell_Apply_Repeating_EFF
273,273,Remove_Specific_Area_Effect_Zone_of_Sweet_Air
274,274,Spell_Effect_Teleport_to_Target
275,275,Stat_Hide_in_Shadows_Modifier
276,276,Stat_Detect_Illusion_Modifier
277,277,Stat_Set_Traps_Modifier
278,278,Stat_To_Hit_Modifier
279,279,Button_Enable_Button
280,280,Spell_Effect_Wild_Magic
281,281,Stat_Wild_Magic
282,282,Script_Scripting_State_Modifier
283,283,Use_EFF_File_Cursed
284,284,Stat_Melee_THAC0_Modifier
285,285,Stat_Melee_Weapon_Damage_Modifier
286,286,Stat_Missile_Weapon_Damage_Modifier
287,287,Graphics_Selection_Circle_Removal
288,288,Stat_Fist_THAC0_Modifier
289,289,Stat_Fist_Damage_Modifier
290,290,Text_Change_Title
291,291,Graphics_Disable_Visual_Effect
292,292,Protection_Backstab
293,293,Script_Enable_Offscreen_AI
294,294,Spell_Effect_Existance_Delay_Override
295,295,Graphics_Disable_Permanent_Death
296,296,Graphics_Protection_from_Specific_Animation
297,297,Spell_Effect_Immunity_to_Turn_Undead
298,298,Spell_Effect_Execute_Script_cut250a
299,299,Spell_Effect_Chaos_Shield
300,300,Spell_Effect_NPCBump
301,301,Stat_Critical_Hit_Modifier
302,302,Item_Can_Use_Any_Item
303,303,Spell_Effect_Backstab_Every_Hit
304,304,Mass_Raise_Dead
305,305,Stat_THAC0_Modifier_Off_Hand
306,306,Stat_THAC0_Modifier_On_Hand
307,307,Ranger_Tracking_Ability
308,308,Protection_From_Tracking
309,309,Script_Modify_Local_Variable
310,310,Protection_from_Timestop
311,311,Spell_Random_Wish_Spell
312,312,Crash
313,313,High_Level_Ability_Denotation
314,314,Spell_Golem_Stoneskin
315,315,Graphics_Animation_Removal
316,316,Spell_Magical_Rest
317,317,State_Haste_2
318,318,Protection_from_Resource
319,319,Usability_Item_Usability
320,320,Change_Weather
321,321,Removal_Effects_specified_by_Resource
322,322,Empty_4
323,323,Stat_Turn_Undead_Level
324,324,Protection_Immunity_to_Resource_and_Message
325,325,Stat_Save_vs_all
326,326,Apply_Effects_List
327,327,Graphics_Icewind_Visual_Spell_Hit_plays_sound
328,328,State_Set_Extended_or_Spell_State
329,329,Spell_Effect_Slow_Poison
330,330,Text_Float_Text
331,331,Summon_Random_Monster_Summoning
332,332,Stat_Specific_Damage_Modifier
333,333,Spell_Effect_Static_Charge
334,334,Spell_Effect_Turn_Undead
335,335,Spell_Effect_Seven_Eyes
336,336,Graphics_Display_Eyes_Overlay
337,337,Remove_Opcode
338,338,Disable_Rest
339,339,Alter_Animation
340,340,Spell_Effect_Change_Backstab_Effect
341,341,Spell_Effect_Change_Critical_Hit_Effect
342,342,Animation_Override_Data
343,343,HP_Swap
344,344,Enchantment_vs_creature_type
345,345,Enchantment_bonus
346,346,Save_vs_school_bonus
347,347,Move_View_to_Target
348,348,Unused
349,349,Unused_1
350,350,Unused_2
351,351,Unused_3
352,352,Change_Background
353,353,Tint_Playing_Screen_Fade
354,354,Flash_Playing_Screen
355,355,Spell_Effect_Soul_Exodus
356,356,Spell_Effect_Stop_All_Action
357,357,State_Set_State
358,358,Incite_Berserk_Attack
359,359,Unused_4
360,360,Stat_Ignore_Reputation_Breaking_Point
361,361,Cast_spell_on_critical_miss
362,362,Critical_miss_bonus
363,363,Modal_state_check
364,364,Empty_5
365,365,Make_unselectable
366,366,Spell_Apply_Spell_On_Move
367,367,Minimum_base_stats
368,368,Play_BAM_with_expiration_effect
369,369,Play_BAM_File_Blended_and_Sticky
370,370,Play_BAM_file
371,371,Play_BAM_file_1
372,372,Play_BAM_file_2
373,373,Play_BAM_file_3
374,374,Special_spell_hit
375,375,Play_BAM_with_effects
376,376,Spell_Effect_Detect_Evil
377,377,Unknown
378,378,Prayer_Non_cumulative
379,379,Curse_Non_cumulative
380,380,Embalm_Non_cumulative
381,381,Induce_Hiccups
382,382,Fist_of_Iron
383,383,Hit_Point_Transfer
